departure_airport_name,departure_time,arrival_airport_name,arrival_time,duration,airline,travel_class,price
Bandar Udara Internasional Soekarno Hatta,2024-11-27 18:55:00,Bandar Udara Internasional Yogyakarta,2024-11-27 20:15:00,80,Garuda Indonesia,Economy,4274030
Bandar Udara Jenderal Ahmad Yani,2024-11-27 10:10:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 11:25:00,75,Citilink Indonesia,Economy,3434794
Bandar Udara Internasional Soekarno Hatta,2024-11-27 15:40:00,Bandar Udara Internasional Juanda,2024-11-27 17:20:00,100,Citilink Indonesia,Economy,3434794
Bandar Udara Jenderal Ahmad Yani,2024-11-27 15:25:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 16:50:00,85,Garuda Indonesia,Economy,5047310
Bandar Udara Internasional Soekarno Hatta,2024-11-27 18:30:00,Bandar Udara Internasional Juanda,2024-11-27 20:15:00,105,Garuda Indonesia,Economy,5047310
Bandar Udara Internasional Juanda,2024-11-27 06:00:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 07:35:00,95,Citilink Indonesia,Economy,1837621
Bandar Udara Internasional Juanda,2024-11-27 07:50:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 09:15:00,85,Thai Lion Air,Economy,1884580
Bandar Udara Internasional Juanda,2024-11-27 07:50:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 09:15:00,85,Lion,Economy,1892070
Bandar Udara Internasional Juanda,2024-11-27 06:00:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 07:25:00,85,Batik Air,Economy,1974870
Bandar Udara Internasional Juanda,2024-11-27 16:50:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 18:30:00,100,Garuda Indonesia,Economy,2492170
Bandar Udara Internasional Juanda,2024-11-27 10:40:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 12:15:00,95,Pelita Air Service,Economy,2030010
Bandar Udara Internasional Juanda,2024-11-27 20:55:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 22:35:00,100,Garuda Indonesia,Economy,5185580
Bandar Udara Internasional Soekarno Hatta,2024-11-28 18:55:00,Bandar Udara Internasional Yogyakarta,2024-11-28 20:15:00,80,Garuda Indonesia,Economy,5185580
Bandar Udara Internasional Juanda,2024-11-27 07:05:00,Bandar Udara Internasional Changi Singapura,2024-11-27 10:25:00,140,Garuda Indonesia,Economy,11826740
Bandar Udara Internasional Changi Singapura,2024-11-27 15:20:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 16:20:00,120,Garuda Indonesia,Economy,11826740
Bandar Udara Internasional Soekarno Hatta,2024-11-27 18:55:00,Bandar Udara Internasional Yogyakarta,2024-11-27 20:15:00,80,Garuda Indonesia,Economy,11826740
Bandar Udara Internasional Juanda,2024-11-27 07:05:00,Bandar Udara Internasional Changi Singapura,2024-11-27 10:25:00,140,Garuda Indonesia,Economy,11826740
Bandar Udara Internasional Changi Singapura,2024-11-27 12:20:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 13:20:00,120,Garuda Indonesia,Economy,11826740
Bandar Udara Internasional Soekarno Hatta,2024-11-27 18:55:00,Bandar Udara Internasional Yogyakarta,2024-11-27 20:15:00,80,Garuda Indonesia,Economy,11826740
Bandar Udara Internasional Juanda,2024-11-27 07:05:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 08:40:00,95,Garuda Indonesia,Business Class,15101111
Bandar Udara Internasional Soekarno Hatta,2024-11-27 11:30:00,Bandar Udara Internasional Yogyakarta,2024-11-27 12:50:00,80,Garuda Indonesia,Business Class,15101111
Bandar Udara Internasional Juanda,2024-11-27 06:00:00,Bandar Udara Internasional Soekarno Hatta,2024-11-27 07:35:00,95,Citilink Indonesia,Economy,4167587
Bandar Udara Internasional Soekarno Hatta,2024-11-27 15:25:00,Bandar Udara Jenderal Ahmad Yani,2024-11-27 16:40:00,75,Citilink Indonesia,Economy,4167587
